Word,Freq
altered,2
chanting,1
rivalâ,1
quells,1
rumors,1
exam,1
release,2
oath,1
taking,1
date,1
user,2
spliced,1
willie,2
incorrectâ,1
debunks,2
supportersâ,1
rcadeâ,1
supporters',1
recording,2
meeting,2
kampo,2
buying,1
larawan,2
pangulong,1
shirt,1
pinaplano,1
bise,1
presidente,1
pamimili,1
natimbog,2
assets,1
former,4
chief,2
ukraine,1
zelenskiy,1
kneeling,1
clark,1
designed,1
japanese,1
chinese,1
engineers,1
naitago,1
hitler,1
yamashita,1
supermalls,1
disown,1
circulating,1
dubious,1
offers,1
nagbayad,1
p800m,1
reporma,1
head,1
pinakamalaki,1
buong,1
mundo,1
cavite,1
sunstar,1
lockdown,1
marso,1
atty,1
thorrsson,1
keith,1
benguet,1
congressional,1
race,1
camp,1
handa,1
silang,1
makipagtrabaho,1
sinuma,1
favoring,2
discovered,2
harassment,2
sapilitang,1
pagpapalikas,1
lumad,5
palabasâ,1
lider,2
threat,1
life,2
govâ,2
debt,2
collapsed,1
footbridge,1
zamboanga,1
language,2
ilocano,2
maaaring,2
madiskalipika,1
hyssop,1
drops,1
multiple,1
appears,1
fake,3
tells,1
sources,1
chris,1
rock,1
forgives,1
smith,1
drinking,1
lemon,1
juice,1
olive,1
help,2
pass,1
galls,1
magbibigay,1
biden,2
national,1
didnâ,1
freedom,1
makadisplina,1
groupâ,1
roots,2
postâ,1
inherit,1
single,1
peso,1
misleading,7
naitulong,1
kapitbahay,1
group,7
kalayaan,1
utang,1
gani,2
pinarangalan,1
gawad,1
alab,1
haraya,1
ncca,1
dayain,2
kaya,1
bantay,1
imprenta,1
edit,1
presenting,1
demeaning,1
article,2
recruit,3
kabataang,2
katutubo,3
kasama,2
henares,1
scam,1
coco,1
levy,1
trust,1
fund,2
panahon,1
project,5
website,1
dpwh,1
binubuwisan,1
nakaw,1
yaman,1
maligned,1
seamen,1
possessing,1
inadequate,1
skills,1
receive,2
nagtayo,1
pccrv,1
namfrel,1
sakay,1
yate,1
lumipat,1
bangka,1
papuntang,1
basilan,1
milo,1
little,1
olympics,1
taekwondo,1
champion,1
claiming,3
veteran,1
journalist,1
karen,1
davila,1
wasn,1
able,1
prove,2
cheated,1
reported,1
forced,1
evacuation,1
show,2
rallies,2
endoso,2
madre,2
naunang,2
successful,2
related,1
youtube,1
lutuin,1
alok,1
taliwas,1
headline,1
trapik,1
maraming,1
pribadong,1
sasakyan,1
pasig,1
vico,1
aatras,1
lacson,4
denies,1
viral,1
attendees,1
received,1
contrary,1
watch,1
livestream,1
kickoff,1
image,1
crowd,2
gathered,1
proclamation,3
cheering,1
bakak,5
niingon,1
makiggubat,1
larry,1
ingon,2
proyek,1
gobernado,1
makailad,1
nagpakita,1
endorso,1
gipili,1
successorâ,1
fastest,1
growing,1
southeast,1
oldâ,1
misor,1
page,1
announcement,1
pinakasayon,1
isda,1
sanayon,1
galunggong,1
nagtumong,1
kang,1
pili,1
ilokano,1
ibutang,1
roxas,1
pasakahi,1
sumbong,1
korupsyon,1
kabahin,1
pondo,1
yolanda,2
troll,1
fales,1
inamin,1
kuya,1
ayusin,1
tumakbo,1
established,1
affairs,1
china,2
attacks,1
country,1
typhoon,1
relief,1
quiboloyâ,1
counsel,1
wanted,1
posterâ,1
destroy,1
administrationâ,1
reputation,1
ericâ,2
links,1
free,1
spokesperson,3
pharmally,1
anomalies,1
duterteâ,2
good,1
relationship,1
russia,1
reason,1
among,1
asean,1
countries,2
soccsksargen,1
defenders,1
part,1
propagandaâ,1
twitter,1
accuses,1
ping,1
violating,1
rules,1
misusing,1
nabbed,1
chavit,1
singson,1
unfair,1
blame,1
violations,1
next,1
ukraineâ,1
becomes,1
muna,1
nominee,1
amirah,1
lidasan,1
tagged,1
branded,1
muslimâ,1
killing,2
indigenous,1
pcoo,1
undersecretary,1
volunteer,3
terrorist,1
npaâ,1
politics,1
mothballing,1
bataan,3
nuclear,1
plant,1
russian,1
impressed,1
speech,1
agency,2
publishes,1
massacred,1
daanâ,1
soriano,1
resurfaces,1
inakusahang,1
loversâ,1
moreno,1
tumigil,1
pagpatay,1
maitatag,1
dismayado,1
pasahero,1
tanggalin,1
rideâ,1
policy,1
murang,1
singil,1
kuryente,1
oxford,1
nagpaskil,1
settle,1
terri,1
rial,1
disputes,1
partyâ,1
hundreds,1
existent,1
malay,1
royal,1
rebels,2
kidnapped,2
kinulayan,1
masjid,1
pagsuporta,1
showing,1
wearing,1
earpiece,1
mean,3
coached,1
manila,1
times,1
dzrh,1
forum,1
bypass,2
lumang,1
ginamit,1
upang,1
palabasing,1
isko,1
rebelyon,1
sonza,1
aksyon,1
demokratiko,1
luke,1
espiritu,1
recruiting,1
kristy,1
halili,1
leaks,2
minasaker,1
iniligtas,1
komunismo,1
juan,1
ponce,1
enrile,1
infrastructure,1
build,2
buildâ,1
completed,1
partly,2
shouldn,1
ivermectin,1
effective,1
alternative,1
montemayor,1
control,1
pandemic,1
inter,1
task,1
force,1
montemayorâ,1
exposes,1
mark,1
nakakapagpasa,1
pagbabakuna,1
rating,1
biggest,1
spreads,1
founder,1
died,1
kinausap dilawan,2
dilawan john,2
john oliver,2
oliver talakayin,2
turn push,2
push rotc,2
rotc manda,2
manda military,2
military service,2
service without,2
without konektado,2
konektado pagpapailaw,2
pagpapailaw kulay,2
kulay pula,2
pula berde,2
ibang bansa,5
durterte carpio,2
indibidwal nagpakilalang,2
shares duavit,2
duavit prince,2
prince charles,2
apparent british,2
british throne,2
throne happy,2
ferdinand marcos,11
bangon muli,2
robin padilla,5
drilon trivialâ,2
trivialâ legislative,2
legislative accomplishments,2
accomplishments lowered,2
prices gagawing,2
gagawing mall,2
mall diliman,2
diliman ilalim,2
european dracula,2
dracula globalist,2
globalist cross,2
marcos family,6
family owns,4
tanging tatanggapin,2
well educated,2
angat buhay,6
foundation tawag,2
tawag liberal,2
ipasara gawin,2
bong authored,2
authored lumago,2
lumago ekonomiya,2
pagkapangulo inilampaso,2
judy taguiwalo,2
kulang konteks,12
unliquidated transactions,2
buhay program,4
kilo presyo,4
presyo bigas,4
economy worse,3
manipuladong video,10
nagkaroon posisyon,2
posisyon gabinete,2
recruited marikina,2
marikina high,2
high school,2
domogan perpetually,2
office kuwait,2
kuwait celebrates,2
phvote microsite,2
microsite bawal,2
bawal magsuot,2
precinct pwedeng,2
pwedeng gupitin,2
magkasya maipasok,2
maipasok shading,2
nasaksihan sultan,2
sultan kudarat,2
party list,7
makabayan coalition,3
kaalyado lantarang,2
lantarang pagbibigay,2
pagbibigay pera,2
senador ngayong,2
neri colmenares,2
colmenares progressive,2
progressive partylists,2
south korea,5
korea singapore,5
blue print,2
video pinagalitan,5
pinagalitan pari,4
pari sina,4
pangilinan isang,5
isang misa,5
libreng pagkain,2
pagkain aliw,2
habol nagpunta,2
edsa people,6
people power,6
inihahapag plataporma,2
niyang pangako,2
joma sison,11
lagay karapatang,2
karapatang pantao,2
apollo quiboloy,4
surely amazed,2
energy security,2
security plan,2
kris aquino,6
text blast,4
tagapayo nina,5
robredo barry,5
barry gutierrez,5
gutierrez joma,5
baselines kailangan,2
kailangan face,2
face shield,2
missing context,5
cory aquino,3
ftiâ operations,2
threatens chaos,2
chaos defeated,2
jillian robredo,8
cursed heckler,4
heckler social,4
social media,8
p203 billion,3
billion estate,3
court conviction,4
pinatunayan imbak,2
nakasampang kaso,2
13th month,2
serenity peace,2
peace proposed,2
nakalulusot batang,2
batang gumagawa,2
gumagawa krimen,2
kapag nahalal,2
naman nakakapahamak,2
nakakapahamak pinekeng,2
quote card,3
napabayaan pambansang,2
pambansang unibersidad,2
heckling impoliteness,2
impoliteness blocking,2
pasay magnetic,2
magnetic therapy,2
therapy insoles,2
insoles increase,2
increase height,2
height magnitude,2
magnitude earthquake,2
earthquake cagayan,2
cagayan tagoloan,2
tagoloan river,2
provoked market,2
market vendor,2
iglesia cris,3
food entertainment,2
pinklawansâ produced,2
human rights,4
situation baselessâ,2
baselessâ malawak,2
malawak aksesâ,2
midya kahit,2
kahit nakakulong,2
nakakulong giit,2
political dynasties,3
nagkakalat paninira,2
gabriela womenâ,3
womenâ party,3
leody guzman,3
child labor,4
siyaâ matalo,2
late dicta,7
poong nazareno,3
scarborough shoal,2
baguio city,4
shaded ballots,3
world record,3
naisiwalat tagapagsalita,2
tagapagsalita ukol,2
sharon cuneta,2
kumakalat social,4
moira dela,3
dela itinangging,3
itinangging bayad,3
bayad pagkanta,3
devil horn,3
horn satanic,3
satanic salute,3
salute hand,3
hand sign,3
kiko tandem,8
tuwang tuwa',2
miss universe,2
negative campaigning,2
presidential candidate,3
negatibong pangangampanya,2
marie lourdes,2
lourdes sereno,2
sereno wore,2
wore necklace,2
imeldaâ personal,2
personal jewelry,2
jewelry collection,2
secretly endorsing,2
paid pantaleon,4
pantaleon bebot,4
bebot alvarez,4
alvarez declare,4
declare full,4
full support,4
wants ofws,2
banyaga nagpopondo,2
nagpopondo kanila,2
catholic academe,2
concocted term,2
chad booc,3
bidyo kinanta,3
kinanta isang,3
uniteam chant,3
isang concert,3
kailanman bumisita,2
bumisita amnesty,2
amnesty international,2
gotten wealth,2
people attended,3
attended grand,3
grand rally,3
harry roque,3
power naia,3
naia tesda,4
tesda gsis,4
puro kuha,2
kuha gabi,2
gabi drone,2
drone shots,2
developed strongest,3
strongest weapon,3
weapon worldâ,3
dicta presidency,3
bangui windmills,2
gsis established,3
mayorâ directive,2
directive intended,2
intended protect,2
villar started,2
started urdaneta,2
google search,2
search trends,2
similar ging,2
ging pics,2
donâ wear,2
